,,Visual Properties,,,,,Labels,,,Graph Metrics,Do Not Edit,,Other Columns,,,,,,,,,,,,
Vertex 1,Vertex 2,Color,Width,Style,Opacity,Visibility,Label,Label Text Color,Label Font Size,Reciprocated?,ID,Dynamic Filter,Add Your Own Columns Here,Relationship,Relationship Date (UTC),Tweet,URLs in Tweet,Domains in Tweet,Hashtags in Tweet,Tweet Date (UTC),Twitter Page for Tweet,Latitude,Longitude,Imported ID,In-Reply-To Tweet ID
raxovfx,slx_csgo,,,,,,,,,,,,,Mentions,28/05/2022 20:15,"RT @kelp1x: MORE GIVEAWAYS!

?? 5350 VALORANT POINT GIVEAWAY ($50) ??

To Enter: 

- Follow 
@kelp1x

 &amp; 
@SLX_CSGO 
 
 ?
- Like + RT this tw…",,,,28/05/2022 20:15,https://twitter.com/#!/raxovfx/status/1530643833414991874,,,1530643833414991874,
raxovfx,kelp1x,,,,,,,,,,,,,Mentions,28/05/2022 20:15,"RT @kelp1x: MORE GIVEAWAYS!

?? 5350 VALORANT POINT GIVEAWAY ($50) ??

To Enter: 

- Follow 
@kelp1x

 &amp; 
@SLX_CSGO 
 
 ?
- Like + RT this tw…",,,,28/05/2022 20:15,https://twitter.com/#!/raxovfx/status/1530643833414991874,,,1530643833414991874,
raxovfx,slx_csgo,,,,,,,,,,,,,Mentions,28/05/2022 20:15,@kelp1x @SLX_CSGO my favorite is the rgx vandal! https://t.co/UQfzO9H6iw,,,,28/05/2022 20:15,https://twitter.com/#!/raxovfx/status/1530644073945653260,,,1530644073945653260,1530614506920894464
raxovfx,kelp1x,,,,,,,,,,,,,Replies to,28/05/2022 20:15,@kelp1x @SLX_CSGO my favorite is the rgx vandal! https://t.co/UQfzO9H6iw,,,,28/05/2022 20:15,https://twitter.com/#!/raxovfx/status/1530644073945653260,,,1530644073945653260,1530614506920894464
justsaben,newthreat,,,,,,,,,,,,,Mentions,28/05/2022 20:16,RT @TakeFlyteGG: Don't miss our intense #ESEA Advanced Week 4 Highlights where we had extremely close #CSGO matches against @NewThreat and…,,,esea csgo,28/05/2022 20:16,https://twitter.com/#!/justsaben/status/1530644103586799616,,,1530644103586799616,
justsaben,takeflytegg,,,,,,,,,,,,,Mentions,28/05/2022 20:16,RT @TakeFlyteGG: Don't miss our intense #ESEA Advanced Week 4 Highlights where we had extremely close #CSGO matches against @NewThreat and…,,,esea csgo,28/05/2022 20:16,https://twitter.com/#!/justsaben/status/1530644103586799616,,,1530644103586799616,
csgo_pixoy,bazza080808,,,,,,,,,,,,,Replies to,28/05/2022 20:16,@bazza080808 Hope for Aramco,,,,28/05/2022 20:16,https://twitter.com/#!/csgo_pixoy/status/1530644108418629632,,,1530644108418629632,1530599093302861824
yaki_csgo,yaki_csgo,,,,,,,,,,,,,Tweet,28/05/2022 20:16,"RT @Yaki_csgo: Cherche un équipe ESEA (long terme) pour la saison en cours ou pas :
21y
Full time
3000 elo
11 000h
xp esea inter x1
Lan x1…",,,,28/05/2022 20:16,https://twitter.com/#!/yaki_csgo/status/1530644135216091137,,,1530644135216091137,
javi_torres13,valentinn007,,,,,,,,,,,,,Mentions,28/05/2022 20:16,RT @Valentinn007: Volvi a jugar CSGO después de meses https://t.co/uzY60R6pZi,,,,28/05/2022 20:16,https://twitter.com/#!/javi_torres13/status/1530644211212632064,,,1530644211212632064,
ksoule_csgo,optimistlevrai,,,,,,,,,,,,,Replies to,28/05/2022 20:14,"@optimistlevrai Ouais, reste bien sûr ce jeu évite de donner ton avis sur cs pour pas te ridiculisé.",,,,28/05/2022 20:14,https://twitter.com/#!/ksoule_csgo/status/1530643601557966848,,,1530643601557966848,1530643175647367169
ksoule_csgo,optimistlevrai,,,,,,,,,,,,,Replies to,28/05/2022 20:16,@optimistlevrai Cned -&gt; unknow désolé,,,,28/05/2022 20:16,https://twitter.com/#!/ksoule_csgo/status/1530644215222439941,,,1530644215222439941,1530643853685968897
berkozturk,lilpkle,,,,,,,,,,,,,Mentions,28/05/2022 20:16,"RT @LilPKLE: ? Flip Knife | Urban Masked ($118) Giveaway
??follow 
??retweet
??Drop a comment (show proof)
https://t.co/d0Y1rqWCRV

Rolling so…",https://www.youtube.com/watch?v=TEy6zANF3uM&feature=youtu.be,youtube.com,,28/05/2022 20:16,https://twitter.com/#!/berkozturk/status/1530644246797090816,,,1530644246797090816,
unepickid,navijunior,,,,,,,,,,,,,Mentions,28/05/2022 20:16,RT @navijunior: We overpower Apeks Rebels with a 16:12 score. GG! #NAVIJunior #navination #CSGO #WAL4 https://t.co/vmwrfWjPl8,,,navijunior navination csgo wal4,28/05/2022 20:16,https://twitter.com/#!/unepickid/status/1530644132091285504,,,1530644132091285504,
unepickid,team__spirit,,,,,,,,,,,,,Mentions,28/05/2022 20:16,"RT @Team__Spirit: Spirit Academy vs. MOUZ NXT

???? https://t.co/rdNAeo9fdf
???? https://t.co/g4BpnK8fxq

#SpiritAcademy #CSGO #WAL4 https://t.…",https://twitch.tv/weplaycsgo https://twitch.tv/bysl4m,twitch.tv twitch.tv,spiritacademy csgo wal4,28/05/2022 20:16,https://twitter.com/#!/unepickid/status/1530644263414939649,,,1530644263414939649,
